minute_index,minute,attempts_per_min,required_pool_now,reactive_pool,predictive_pool,reactive_blocking,predictive_blocking,reactive_failures,predictive_failures,reactive_cumulative_failures,predictive_cumulative_failures,forecast_attempts_h15,forecast_attempts_h30
0,0,14.270381,23,10,10,0.553835,0.553835,7.903431,7.903431,7.903431,7.903431,1.971206,0
1,1,13.450436,22,10,10,0.529878,0.529878,7.127088,7.127088,15.030519,15.030519,1.151261,0
2,2,14.82283,24,10,10,0.568719,0.568719,8.430021,8.430021,23.46054,23.46054,4.014446,0
3,3,14.713089,23,10,10,0.565837,0.565837,8.325215,8.325215,31.785755,31.785755,6.398632,0
4,4,14.636098,23,10,10,0.563794,0.563794,8.251745,8.251745,40.0375,40.0375,8.35053,2.906199
5,5,13.959016,22,10,10,0.545012,0.545012,7.607832,7.607832,47.645332,47.645332,8.87312,4.092949
6,6,15.310771,24,10,10,0.581103,0.581103,8.897128,8.897128,56.542459,56.542459,11.874386,9.584173
7,7,15.834455,25,10,10,0.59366,0.59366,9.400289,9.400289,65.942748,65.942748,14.783566,14.789748
8,8,17.061426,26,10,10,0.620431,0.620431,10.585438,10.585438,76.528187,76.528187,18.620476,21.504032
9,9,15.938741,25,10,10,0.596076,0.596076,9.500696,9.500696,86.028882,86.028882,18.828813,21.724444
10,10,16.380907,26,18,18,0.304369,0.304369,4.985834,4.985834,91.014717,91.014717,19.449722,22.666252
11,11,16.20946,25,18,18,0.298644,0.298644,4.840864,4.840864,95.85558,95.85558,19.264037,22.180477
12,12,16.697513,26,18,18,0.314767,0.314767,5.255819,5.255819,101.111399,101.111399,19.719684,22.832038
13,13,17.692365,27,18,18,0.345978,0.345978,6.121166,6.121166,107.232565,107.232565,21.401449,25.619509
14,14,18.188241,28,18,18,0.360716,0.360716,6.560797,6.560797,113.793362,113.793362,22.898381,28.028237
15,15,15.039063,24,18,18,0.257853,0.257853,3.877875,3.877875,117.671237,117.671237,18.080331,19.340156
16,16,18.052469,28,18,18,0.356734,0.356734,6.439933,6.439933,124.11117,124.11117,20.092917,22.799191
17,17,17.453538,27,18,18,0.338687,0.338687,5.911278,5.911278,130.022448,130.022448,20.082616,22.64585
18,18,18.009031,27,18,18,0.355452,0.355452,6.401341,6.401341,136.423789,136.423789,20.789026,23.753907
19,19,18.452954,28,18,18,0.368366,0.368366,6.797446,6.797446,143.221235,143.221235,21.711016,25.219144
20,20,18.756704,28,26,26,0.141795,0.141795,2.659602,2.659602,145.880837,145.880837,22.482392,26.393647
